Construction of TAPI gas pipeline to be completed by 2020: NA told,April 20 2017
Pakistan pushing campaign to highlight Kashmir dispute: Sartaj,April 20 2017
Launch of storybooks based on lives of women extraordinary initiative by BISP: Mamnoon,April 20 2017
Hot dry weather likely to prevail in most parts of country,April 20 2017
Dr Shafqat brings factors influencing â€˜Rise of Chinaâ€™ to light,April 20 2017
Pakistan reiterates diplomatic support to Kashmirisâ€™ right to self-determination,April 20 2017
CPPG holds seminar on image of Muslims,April 20 2017
Conferment of Sitara-i-imtiaz on TurkeyÂ’s Urdu scholar celebrated at Pakistan house in Ankara,April 20 2017
Panama Case: Supreme Court directs formation of JIT to probe allegations against PM Nawaz,April 20 2017
Eight alleged Jamaat-ur-Ahrar terrorists killed in Sheikhupura operation,April 20 2017
Undeclared martial law in Kashmir: Kashmir resistance leadership,April 20 2017
Young girl commits suicide,April 20 2017
Three booked for allegedly hurling life threats,April 20 2017
Punjab Government to resume work on Bulk water supply project,April 20 2017
Schools heads to face action over 40 percent dropout in Matric,April 20 2017
RWP Cantt to witness development work worth Rs100mn,April 20 2017
Five injured in armed clash,April 20 2017
Zardari says PM should resign if Panama case verdict is against him,April 20 2017
NA unanimously approves compulsory Quranic Education Act 2017,April 20 2017
Day of judgement,April 20 2017
COAS signs death warrants of 30 militants,April 20 2017
Nawaz takes previous PPP govt to  task over current energy crisis,April 20 2017
Why the surrender of Ehsanullah Ehsan is important for Pakistan,April 20 2017
PPP slams PML-N for unscheduled load shedding,April 20 2017
SC seeks explanation from KP CM on request for JC on Mardan lynching,April 20 2017
All Pakistan Secretary General Conference held,April 20 2017
Chinese textile industry prefers Vietnam and Bangladesh over Pakistan,April 20 2017
ECP disqualifies  KP CMÂ’s advisor  on tourism,April 20 2017
5740 people killed in last six years in war against terror NA told,April 20 2017
MÃ¶venpick signs agreement  with Orient Group,April 20 2017
PakistanÂ’s deep sea container handles 3191 moves in 23 hours,April 20 2017
550 exhibitors to be part of IGATEX Pakistan 2017,April 20 2017
Poor father of ailing girl  awaits messiah,April 20 2017
Court orders to seize defaulterÂ’s property,April 20 2017
Marriyum trolls Kaptaan over  defeat in Chakwal by-polls,April 20 2017
Nisar slams Sindh govt for limiting RangersÂ’ powers,April 20 2017
PM Sharif blames poor past governance for countryâ€™s current energy crisis,April 20 2017
SC to declare Panama Leaks case judgment today,April 20 2017
Dilly-dallying on Disaster Insurance Plan irks Shahbaz,April 20 2017
ECP disqualifies CM KPÂ‘s Advisor on Tourism,April 20 2017
Pakistan Navy to assist TEVTA in training courses,April 19 2017
PBS fails to provide maps to census officials,April 19 2017
Passport office bribing Chinese workers over visa extensions,April 19 2017
COAS Iranian envoy discuss regional  security,April 19 2017
Notices issued in Â‘illegalÂ’ appointments at UET,April 19 2017
Pakistan to offer world for economic integration: Nasser Janjua,April 19 2017
Ahead of Panamagate verdict PML-NÂ’s ad campaign raises many eyebrows,April 19 2017
Â‘Universities need change from within as walls only counter external threatsÂ’,April 19 2017
COAS signs on death warrants of 30 hardcore terrorists,April 19 2017
11764 Pakistanis imprisoned in other countries: Sartaj,April 19 2017
Panama case decision brings stability in country: Shujaat,April 19 2017
CJP administers oath to acting auditor general,April 19 2017
Ayaz urges media to project positive image of Pakistan,April 19 2017
COAS Iranian envoy discuss regional security,April 19 2017
Police arrest 160 suspects in different parts of country,April 19 2017
Rs5.2bn disbursed as compensation amongst tribal affectees of terrorism,April 19 2017
40 apprehended weapons recovered as police raids parts of Karachi,April 19 2017
PM inaugurates Bhikki Power generation project,April 19 2017
Infamous criminal apprehended in injured condition,April 19 2017
Babri Masjid Case: Former Indian Home Minister and other BJP leaders to be tried for conspiracy,April 19 2017
Khwaja Asif claims load shedding issue to be resolved soon,April 19 2017
Youngster shoots and kills three friends,April 19 2017
Deadline issued for completion of toilets in 700 govt schools till 30th June,April 19 2017
CTD arrests alleged abductor extortionist,April 19 2017
Met office forecasts hot dry weather for next 12 hours,April 19 2017
Pro-Nawaz posters appear in Lahore as Panama case decision approaches,April 19 2017
No worries on Panama Judgment: Attorney General,April 19 2017
Imran says Government guilty of criminal neglect for failing to reform power sector,April 19 2017
Constable seen beating passengers at Islamabad airport suspended,April 19 2017
Rawalpora grid station a disaster in the making,April 19 2017
Target killer among other suspects held in Karachi,April 19 2017
Three killed in Gujar Khan firing,April 19 2017
Rangers not happy with notification issued by Sindh government,April 19 2017
Â‘Panamagate verdict will be according to lawÂ’,April 19 2017
New video shows MashalÂ’s killers pledging to  conceal shooterÂ’s name,April 19 2017
MashalÂ’s murderers will be given exemplary punishment: Imran,April 19 2017
Senate body wants military court to hear lynching case,April 19 2017
Â‘98 babies passed away in Thar since JanuaryÂ’,April 19 2017
Teacher describes facing mob that lynched Mashal,April 19 2017
Â‘No anti-polio drops until schools openedÂ’,April 19 2017
FIA arrests man Â‘involvedÂ’ in  cyber crime,April 19 2017
FX reserves accumulation: glass half full,April 19 2017
Panamagate verdict tomorrow,April 19 2017
We are victim of state-sponsored terrorism COAS tells US,April 19 2017
Load shedding making soaring temperatures hellish,April 19 2017
Ahmadi woman  professor found  dead in Lahore,April 19 2017
Â‘Shehbaz Sharif wishes to provide a good life to citizensÂ’,April 19 2017
PU professor murdered,April 19 2017
35 injured as Jaffer  Express derails,April 19 2017
First meeting of China-Pakistan parliamentary friendship group  held,April 19 2017
Load-shedding soars as demand increases,April 18 2017
Khidmat Markaz to be set up in all districts of Punjab,April 18 2017
Teacher describes facing the mob that killed Mashal Khan,April 18 2017
PPPÂ’s petition against Â‘lack of transparencyÂ’ in census put off,April 18 2017
Rs 62bn over-billing: NEPRA defends K-Electric in court,April 18 2017
First meeting of China-Pakistan  parliamentary friendship group held,April 18 2017
Think twice before planning protest on The Mall,April 18 2017
LTC launches 20 buses for Sikh yatrees,April 18 2017
Pharma industry frets over cumbersome licensing policy,April 18 2017
PM issues warning letters to ministries federal ministers,April 18 2017
Senate unanimously adopts SirajÂ’s resolution,April 18 2017
ACCA president talks about importance of governance,April 18 2017
SC to announce Panama caseÂ’s judgment on April 20th,April 18 2017
Quaid-e-Azam Law College wins 6th LUMS-HBL National Moot Court Competition,April 18 2017
Pakistan is a victim of state-sponsored terrorism: COAS,April 18 2017
One Indian army soldier Â‘killedÂ’,April 18 2017
Problems in railways continue as Jaffar Express derails near Gujranwala,April 18 2017
Â‘Mashal KhanÂ’s murderers will be punishedÂ’,April 18 2017
Rulers putting citizens at risk to save their Â‘corrupt cronies:Â’ PTI leader,April 18 2017
Â‘GovtÂ’s energy projects to help eliminate power crisis from GBÂ’,April 18 2017
Security forcesÂ’ joint efforts improved security in Karachi: Nisar,April 18 2017
NA passes resolution condemning cold blooded murder of  Mashal Khan,April 18 2017
Youth gunned down over dispute about song played at marriage ceremony,April 18 2017
Retd female professor of  PU stabbed to death,April 18 2017
Five die in Bhakkar road mishap,April 18 2017
Political stability guarantee of national security: Nasser,April 18 2017
NA Deputy Speaker stresses need for regular interaction between Pakistan and Portugal MPs,April 18 2017
By-poll elections: voting begins in Talagang,April 18 2017
Two MQM London workers awarded 17 years jail term,April 18 2017
No respite: Hot dry weather to prevail,April 18 2017
Imran says blasphemy used as an excuse to target Mashal,April 18 2017
Indian forces to use plastic bullets against protesters in IOK,April 18 2017
Mashal KhanÂ’s murder condemned by NA safeguards to be incorporated in Blasphemy Law,April 18 2017
Student of  9th class commits suicide,April 18 2017
PM approves setting up of PMO for upgradation of 400 schools in IBD,April 18 2017
Mardan Lynching case: KP police to submit report to Supreme Court today,April 18 2017
Five killed 19 injured in Jung Road accident,April 18 2017
Â“Public Police Pace CommitteesÂ” to control growing crime in Rawalpindi,April 18 2017
Three married women among four allegedly abducted in Rawalpindi,April 18 2017
Three dead in Pindi Bhattian road crash,April 18 2017
Names of three Indians emerge in retired army officerÂ’s disappearance,April 18 2017
Supreme Court reserves judgement over appeal against LHC verdict,April 18 2017
Pak-Afghan border to be fenced in 3 years,April 18 2017
India yet again  violates LoC  ceasefire agreement,April 18 2017
Bilawal in love with Lahore and literature,April 18 2017
SBP governor inaugurates Heritage Meeting Rooms,April 18 2017
Â‘Why the backdated amendment?Â’,April 18 2017
Afghan envoy hints at joint operation  against TTP chief,April 18 2017
To comply or not to  comply thatÂ’s the question,April 18 2017
Nawaz forms new team to Â‘defeat Kaptaan in KPÂ’,April 18 2017
Unannounced visit: US NSA in  Pakistan with Â‘tough messageÂ’,April 18 2017
Upcoming elections may affect  PakistanÂ’s growth outlook: WB,April 18 2017
CPNE congratulates Governor CM on implementation of RTI,April 18 2017
Illegal parking lots snatch shelter from bus passengers,April 18 2017
Â‘Consensus vital for implementation of FATA reformsÂ’,April 18 2017
Students clash with forces in IHK,April 18 2017
Pashma Zaman secures 3rd position in essay competition,April 18 2017
JI begins mass contact campaign for elections,April 18 2017
TTP ex-spokesman surrenders to army,April 18 2017
OICCI  submits taxation  proposals for Punjab budget,April 18 2017
Â‘Rangers  not  going anywhereÂ’,April 17 2017
TTP JAÂ’s Ehsan surrender Â— a serious blow  to militants,April 17 2017
LHCBA challenges 23rd amendment in SC,April 17 2017
LHC dismisses petition seeking establishment of shadow cabinet,April 17 2017
300 Ramazan bazaars to be set up across Punjab,April 17 2017
Police arrest 22 people for Mashal KhanÂ’s killing,April 17 2017
OICCI submits taxation proposals for Punjab budget,April 17 2017
LHC upholds death sentence of convict,April 17 2017
Â‘Rangers not going anywhereÂ’,April 17 2017
Nine suspects arrested in Karachi,April 17 2017
Brother shoots sister over domestic dispute,April 17 2017
Pakistan wants to promote peace in the region: PM Nawaz Shairf,April 17 2017
Former TTP spokesman Ehsanullah Ehsan surrenders to Pakistani forces,April 17 2017
Female suicide bomber Noreen Leghari had planned a blast on Easter,April 17 2017
PTI leader lashes out at Nawaz Sharif for Â‘PML-N liesÂ’,April 17 2017
LHC rejects petition seeking formation of a shadow cabinet,April 17 2017
KP has always been PML-NÂ’s stronghold: Nawaz Sharif,April 17 2017
Govt given time to reply to petition filed against Ishaq Dar,April 17 2017
AIOU-NUML hold cultural festival,April 17 2017
Two killed three injured in a road mishap,April 17 2017
KP govt signs 11 MoUs with Chinese companies,April 17 2017
KP govt decides to reconstruct Reshun Hydropower Station,April 17 2017
President PM Nawaz Shairf congratulate Turkey on outcome of referendum,April 17 2017
Anti-polio campaign continues across the country,April 17 2017
PM directs party leaders to strengthen the party in KP,April 17 2017
Candidates for teacher posts chant Â‘stop killing meritÂ’ against Sindh Education Department,April 17 2017
Two sisters killed in gas cylinder explosion,April 17 2017
US national security advisor Sartaj discuss regional security situation,April 17 2017
CTD arrest alleged extortionist,April 17 2017
GovtÂ’s promises are just a show-off: Bakhtawar Bhutto,April 17 2017
Hot dry weather expected in most parts of country,April 17 2017
Man murders 4 including his father and brother,April 17 2017
Â‘Daesh-affiliatedÂ’ Noreen discloses important information,April 17 2017
Man guns down father brother two children,April 17 2017
Six woman allegedly abducted in Rawalpindi,April 17 2017
An earthquake of 4.4 magnitude earthquake hits Swat and surrounding areas,April 17 2017
Police arrest six alleged criminals during raids,April 17 2017
Abettor who provided accommodation to Abu Fauji arrested by LEAs,April 17 2017
University admin incited students to violence against me and Mashal: Abdullah,April 17 2017
22 suspects arrested in Mardan lynching case,April 17 2017
Woman allegedly raped in Rawalpindi,April 17 2017
Man languishing in IOK jail for past four years despite acquittal,April 17 2017
Rally against MashalÂ’s lynching in Swabi carried out by residents and activists,April 17 2017
Adiala jail inmate dies due to cardiac arrest,April 17 2017
Girl ends her life in Pattan,April 17 2017
PM all set to meet US National Security Adviser,April 17 2017
Spurious antibiotics supplied to IOK hospitals,April 17 2017
Mardan lynching: case supervised by IG,April 17 2017
Zubair finds democracy  getting stronger,April 17 2017
Â‘Senate chairman should follow Waseem SajjadÂ’,April 17 2017
Â‘Efforts being made to  make census  a successÂ’,April 17 2017
Â‘Pakistan progressing  under PremierÂ’,April 17 2017
PM assures protection  due rights to minorities,April 17 2017
CJP takes notice of infant deaths due to malnutrition,April 17 2017
Â‘Mother of All BombsÂ’   affected Kurram too,April 17 2017
